City,Country
Abu Dhabi,United Arab Emirates
Adelaide,Australia
Ahmedabad,India
Auckland,New Zealand
Bengaluru,India
Birmingham,England
Brabourne,India
Bridgetown,Barbados
Brisbane,Australia
Bristol,England
Bulawayo,Zimbabwe
Canberra,Australia
Cape Town,South Africa
Cardiff,Wales
Centurion,South Africa
Chattogram,Bangladesh
Chennai,India
Chester-le-Street,England
Christchurch,New Zealand
Colombo (PSS),Sri Lanka
Colombo (RPS),Sri Lanka
Colombo (SSC),Sri Lanka
Cuttack,India
Dambulla,Sri Lanka
Delhi,India
Dharamsala,India
Dubai (DICS),United Arab Emirates
Dublin (Malahide),Ireland
Durban,South Africa
Eden Gardens,India
Fatullah,Bangladesh
Galle,Sri Lanka
Gqeberha,South Africa
Gros Islet,Saint Lucia
Guwahati,India
Gwalior,India
Hambantota,Sri Lanka
Hamilton,New Zealand
Harare,Zimbabwe
Hobart,Australia
Hyderabad,India
Indore,India
Jaipur,India
Johannesburg,South Africa
Kanpur,India
Kingston,Jamaica
Kochi,India
Lauderhill,USA
Leeds,England
Lord's,England
Lucknow,India
Manchester,England
Melbourne,Australia
Mirpur,Bangladesh
Mohali,India
Mount Maunganui,New Zealand
Nagpur,India
Napier,New Zealand
New York,USA
North Sound,Antigua and Barbuda
Nottingham,England
Paarl,South Africa
Pallekele,Sri Lanka
Perth,Australia
Port of Spain,Trinidad and Tobago
Providence,Guyana
Pune,India
Raipur,India
Rajkot,India
Ranchi,India
Roseau,Dominica
Southampton,England
Sydney,Australia
The Oval,England
Thiruvananthapuram,India
Vadodara,India
Visakhapatnam,India
W.A.C.A,Australia
Wankhede,India
Wellington,New Zealand
